Season,wOBA,Name,Team,PA,playerid
1993,0.352,Brady Anderson,Orioles,664,364
1998,0.347,Brady Anderson,Orioles,574,364
1994,0.344,Brady Anderson,Orioles,525,364
2005,0.353,Brady Clark,Brewers,674,1398
1920,0.392,Braggo Roth,Senators,561,1011238
1918,0.388,Braggo Roth,Indians,448,1011238
1919,0.373,Braggo Roth,- - -,474,1011238
1917,0.360,Braggo Roth,Indians,569,1011238
2016,0.374,Brandon Belt,Giants,655,10264
2013,0.365,Brandon Belt,Giants,571,10264
2015,0.359,Brandon Belt,Giants,556,10264
2015,0.332,Brandon Crawford,Giants,561,5343
2016,0.327,Brandon Crawford,Giants,623,5343
2014,0.309,Brandon Crawford,Giants,564,5343
2018,0.306,Brandon Crawford,Giants,594,5343
2017,0.301,Brandon Crawford,Giants,570,5343
2013,0.296,Brandon Crawford,Giants,550,5343
2006,0.331,Brandon Inge,Tigers,601,470
2005,0.327,Brandon Inge,Tigers,694,470
2009,0.319,Brandon Inge,Tigers,637,470
2010,0.316,Brandon Inge,Tigers,580,470
2007,0.303,Brandon Inge,Tigers,577,470
2013,0.369,Brandon Moss,Athletics,505,4467
2014,0.339,Brandon Moss,Athletics,580,4467
2015,0.308,Brandon Moss,- - -,526,4467
2018,0.385,Brandon Nimmo,Mets,535,12927
2011,0.353,Brandon Phillips,Reds,675,791
2007,0.350,Brandon Phillips,Reds,702,791
2010,0.336,Brandon Phillips,Reds,687,791
2009,0.336,Brandon Phillips,Reds,644,791
2012,0.325,Brandon Phillips,Reds,623,791
2008,0.324,Brandon Phillips,Reds,609,791
2006,0.323,Brandon Phillips,Reds,587,791
2017,0.316,Brandon Phillips,- - -,604,791
2015,0.315,Brandon Phillips,Reds,623,791
2016,0.315,Brandon Phillips,Reds,584,791
2013,0.307,Brandon Phillips,Reds,666,791
2007,0.341,Brendan Harris,Devil Rays,576,2178
2010,0.322,Brennan Boesch,Tigers,512,914
2012,0.288,Brennan Boesch,Tigers,503,914
2002,0.269,Brent Abernathy,Devil Rays,504,1192
1993,0.335,Brent Gates,Athletics,609,1004570
1995,0.291,Brent Gates,Athletics,585,1004570
1994,0.338,Bret Barberie,Marlins,406,1000524
2001,0.397,Bret Boone,Mariners,690,1067
2003,0.384,Bret Boone,Mariners,705,1067
1994,0.372,Bret Boone,Reds,424,1067
2002,0.346,Bret Boone,Mariners,675,1067
1998,0.338,Bret Boone,Reds,648,1067
1995,0.333,Bret Boone,Reds,571,1067
2000,0.322,Bret Boone,Padres,525,1067
2004,0.321,Bret Boone,Mariners,658,1067
1999,0.318,Bret Boone,Braves,671,1067
1996,0.277,Bret Boone,Reds,568,1067
1994,0.383,Brett Butler,Dodgers,496,1001772
1992,0.372,Brett Butler,Dodgers,676,1001772
1987,0.369,Brett Butler,Indians,618,1001772
1988,0.361,Brett Butler,Giants,679,1001772
1985,0.361,Brett Butler,Indians,666,1001772
1990,0.359,Brett Butler,Giants,732,1001772
1993,0.348,Brett Butler,Dodgers,716,1001772
1991,0.347,Brett Butler,Dodgers,730,1001772
1995,0.342,Brett Butler,- - -,596,1001772
1986,0.331,Brett Butler,Indians,683,1001772
1983,0.331,Brett Butler,Braves,613,1001772
1984,0.330,Brett Butler,Indians,709,1001772
1989,0.323,Brett Butler,Giants,672,1001772
2010,0.346,Brett Gardner,Yankees,569,9927
2017,0.336,Brett Gardner,Yankees,682,9927
2013,0.335,Brett Gardner,Yankees,609,9927
2014,0.331,Brett Gardner,Yankees,636,9927
2015,0.327,Brett Gardner,Yankees,656,9927
2011,0.321,Brett Gardner,Yankees,588,9927
2016,0.317,Brett Gardner,Yankees,634,9927
2018,0.305,Brett Gardner,Yankees,609,9927
2012,0.319,Brett Lawrie,Blue Jays,536,5247
2015,0.306,Brett Lawrie,Athletics,602,5247
2018,0.333,Brian Anderson,Marlins,670,18289
2002,0.351,Brian Daubach,Red Sox,506,186
2000,0.329,Brian Daubach,Red Sox,549,186
1979,0.395,Brian Downing,Angels,596,1003451
1987,0.387,Brian Downing,Angels,695,1003451
1982,0.377,Brian Downing,Angels,725,1003451
1986,0.376,Brian Downing,Angels,631,1003451
1984,0.366,Brian Downing,Angels,628,1003451
1988,0.361,Brian Downing,Angels,590,1003451
1985,0.359,Brian Downing,Angels,620,1003451
1989,0.348,Brian Downing,Angels,610,1003451
1981,0.341,Brian Downing,Angels,370,1003451
1975,0.321,Brian Downing,White Sox,516,1003451
2016,0.370,Brian Dozier,Twins,691,9810
2017,0.362,Brian Dozier,Twins,705,9810
2014,0.340,Brian Dozier,Twins,707,9810
2015,0.323,Brian Dozier,Twins,704,9810
2013,0.319,Brian Dozier,Twins,623,9810
2018,0.304,Brian Dozier,- - -,632,9810
2002,0.444,Brian Giles,Pirates,644,990
1999,0.433,Brian Giles,Pirates,627,990
2000,0.430,Brian Giles,Pirates,688,990
2001,0.413,Brian Giles,Pirates,674,990
2003,0.404,Brian Giles,- - -,609,990
2005,0.392,Brian Giles,Padres,674,990
2008,0.377,Brian Giles,Padres,653,990
2004,0.365,Brian Giles,Padres,711,990
2007,0.343,Brian Giles,Padres,552,990
2006,0.342,Brian Giles,Padres,717,990
1993,0.339,Brian Harper,Twins,573,1005376
1990,0.338,Brian Harper,Twins,509,1005376
1992,0.335,Brian Harper,Twins,546,1005376
1997,0.310,Brian Hunter,Tigers,738,562
1996,0.291,Brian Hunter,Astros,553,562
1998,0.283,Brian Hunter,Tigers,636,562
1999,0.263,Brian Hunter,- - -,589,562
1998,0.388,Brian Jordan,Cardinals,617,658
1995,0.358,Brian Jordan,Cardinals,525,658
1996,0.357,Brian Jordan,Cardinals,560,658
1999,0.351,Brian Jordan,Braves,645,658
2001,0.351,Brian Jordan,Braves,605,658
2002,0.348,Brian Jordan,Dodgers,515,658
2000,0.323,Brian Jordan,Braves,537,658
2008,0.386,Brian McCann,Braves,573,4810
2010,0.362,Brian McCann,Braves,566,4810
2009,0.359,Brian McCann,Braves,551,4810
2011,0.350,Brian McCann,Braves,527,4810
2007,0.329,Brian McCann,Braves,552,4810
2015,0.327,Brian McCann,Yankees,535,4810
2014,0.306,Brian McCann,Yankees,538,4810
1998,0.359,Brian McRae,Mets,645,1008686
1995,0.348,Brian McRae,Cubs,638,1008686
1996,0.346,Brian McRae,Cubs,716,1008686
1994,0.331,Brian McRae,Royals,505,1008686
1993,0.328,Brian McRae,Royals,685,1008686
1997,0.317,Brian McRae,- - -,639,1008686
1991,0.294,Brian McRae,Royals,663,1008686
1992,0.274,Brian McRae,Royals,592,1008686
2005,0.387,Brian Roberts,Orioles,640,166
2008,0.364,Brian Roberts,Orioles,704,166
2007,0.356,Brian Roberts,Orioles,716,166
2009,0.352,Brian Roberts,Orioles,717,166
2006,0.330,Brian Roberts,Orioles,630,166
2004,0.320,Brian Roberts,Orioles,736,166
2003,0.314,Brian Roberts,Orioles,512,166
1911,0.372,Bris Lord,Athletics,631,1007759
1910,0.331,Bris Lord,- - -,547,1007759
1906,0.286,Bris Lord,Athletics,492,1007759
2015,0.322,Brock Holt,Red Sox,509,9345
1987,0.399,Brook Jacoby,Indians,620,1006318
1990,0.355,Brook Jacoby,Indians,624,1006318
1986,0.350,Brook Jacoby,Indians,641,1006318
1989,0.343,Brook Jacoby,Indians,592,1006318
1985,0.331,Brook Jacoby,Indians,662,1006318
1988,0.289,Brook Jacoby,Indians,606,1006318
1964,0.384,Brooks Robinson,Orioles,685,1011055
1962,0.361,Brooks Robinson,Orioles,697,1011055
1965,0.350,Brooks Robinson,Orioles,616,1011055
1960,0.341,Brooks Robinson,Orioles,651,1011055
1971,0.340,Brooks Robinson,Orioles,663,1011055
1970,0.339,Brooks Robinson,Orioles,673,1011055
1967,0.338,Brooks Robinson,Orioles,681,1011055
1966,0.338,Brooks Robinson,Orioles,686,1011055
1974,0.330,Brooks Robinson,Orioles,622,1011055
1961,0.325,Brooks Robinson,Orioles,736,1011055
1968,0.322,Brooks Robinson,Orioles,667,1011055
1969,0.309,Brooks Robinson,Orioles,670,1011055
1973,0.307,Brooks Robinson,Orioles,619,1011055
1963,0.298,Brooks Robinson,Orioles,648,1011055
1972,0.294,Brooks Robinson,Orioles,612,1011055
1958,0.272,Brooks Robinson,Orioles,507,1011055
1975,0.247,Brooks Robinson,Orioles,539,1011055
1981,0.323,Bruce Benedict,Braves,339,1000829
1979,0.384,Bruce Bochte,Mariners,636,1001106
1980,0.368,Bruce Bochte,Mariners,603,1001106
1982,0.356,Bruce Bochte,Mariners,586,1001106
1977,0.337,Bruce Bochte,- - -,552,1001106
1978,0.335,Bruce Bochte,Mariners,560,1001106
1981,0.331,Bruce Bochte,Mariners,385,1001106
1984,0.309,Bruce Bochte,Athletics,533,1001106
1976,0.306,Bruce Bochte,Angels,543,1001106
1937,0.395,Bruce Campbell,Indians,519,1001875
1939,0.383,Bruce Campbell,Indians,527,1001875
1941,0.380,Bruce Campbell,Tigers,584,1001875
1933,0.375,Bruce Campbell,Browns,640,1001875
1938,0.374,Bruce Campbell,Indians,575,1001875
1934,0.352,Bruce Campbell,Browns,534,1001875
1932,0.351,Bruce Campbell,- - -,660,1001875
1947,0.365,Bruce Edwards,Dodgers,528,1003683
1916,0.292,Bruno Betzel,Cardinals,560,1000934
2015,0.461,Bryce Harper,Nationals,654,11579
2018,0.376,Bryce Harper,Nationals,695,11579
2012,0.352,Bryce Harper,Nationals,597,11579
2016,0.343,Bryce Harper,Nationals,627,11579
1871,0.299,Bub McAtee,White Stockings,140,1008330
1872,0.222,Bub McAtee,Haymakers,130,1008330
1961,0.314,Bubba Phillips,Indians,590,1010284
1962,0.290,Bubba Phillips,Indians,599,1010284
2001,0.341,Bubba Trammell,Padres,546,1057
1893,0.415,Buck Ewing,Spiders,541,1003881
1889,0.401,Buck Ewing,Giants,444,1003881
1895,0.382,Buck Ewing,Reds,467,1003881
1888,0.376,Buck Ewing,Giants,442,1003881
1885,0.364,Buck Ewing,Giants,355,1003881
1883,0.362,Buck Ewing,Gothams,396,1003881
1884,0.347,Buck Ewing,Gothams,410,1003881
1882,0.312,Buck Ewing,Trojans,338,1003881
1881,0.283,Buck Ewing,Trojans,279,1003881
1901,0.425,Buck Freeman,Americans,548,1004316
1899,0.422,Buck Freeman,Senators,634,1004316
1902,0.399,Buck Freeman,Americans,608,1004316
1903,0.380,Buck Freeman,Americans,611,1004316
1900,0.378,Buck Freeman,Beaneaters,461,1004316
1904,0.353,Buck Freeman,Americans,652,1004316
1905,0.320,Buck Freeman,Americans,515,1004316
1884,0.183,Buck Gladman,Nationals,230,1004754
1911,0.376,Buck Herzog,- - -,635,1005745
1912,0.344,Buck Herzog,Giants,563,1005745
1914,0.339,Buck Herzog,Reds,564,1005745
1919,0.326,Buck Herzog,- - -,525,1005745
1916,0.323,Buck Herzog,- - -,638,1005745
1915,0.313,Buck Herzog,Reds,641,1005745
1918,0.277,Buck Herzog,Braves,526,1005745
1936,0.364,Buck Jordan,Bees,610,1006605
1934,0.355,Buck Jordan,Braves,535,1006605
1933,0.331,Buck Jordan,Braves,643,1006605
1935,0.315,Buck Jordan,Braves,491,1006605
1962,0.301,Buck Rodgers,Angels,624,1011098
1964,0.269,Buck Rodgers,Angels,572,1011098
1920,0.368,Buck Weaver,White Sox,690,1013694
1917,0.337,Buck Weaver,White Sox,514,1013694
1919,0.337,Buck Weaver,White Sox,620,1013694
1918,0.328,Buck Weaver,White Sox,453,1013694
1915,0.325,Buck Weaver,White Sox,644,1013694
1913,0.315,Buck Weaver,White Sox,573,1013694
1914,0.292,Buck Weaver,White Sox,576,1013694
1916,0.288,Buck Weaver,White Sox,669,1013694
1912,0.260,Buck Weaver,White Sox,553,1013694
1980,0.311,Bucky Dent,Yankees,553,1003212
1974,0.307,Bucky Dent,White Sox,552,1003212
1975,0.293,Bucky Dent,White Sox,662,1003212
1977,0.293,Bucky Dent,Yankees,540,1003212
1976,0.282,Bucky Dent,White Sox,627,1003212
1920,0.363,Bucky Harris,Senators,592,1005402
1926,0.358,Bucky Harris,Senators,631,1005402
1923,0.350,Bucky Harris,Senators,620,1005402
1925,0.348,Bucky Harris,Senators,665,1005402
1921,0.344,Bucky Harris,Senators,683,1005402
1927,0.335,Bucky Harris,Senators,576,1005402
1924,0.334,Bucky Harris,Senators,653,1005402
1922,0.327,Bucky Harris,Senators,685,1005402
1927,0.332,Bud Clancy,White Sox,514,1002254
1928,0.326,Bud Clancy,White Sox,560,1002254
1970,0.308,Bud Harrelson,Mets,682,1005387
1971,0.290,Bud Harrelson,Mets,618,1005387
1967,0.286,Bud Harrelson,Mets,603,1005387
1972,0.273,Bud Harrelson,Mets,490,1005387
1945,0.321,Bud Metheny,Yankees,579,1008807
1944,0.321,Bud Metheny,Yankees,590,1008807
1910,0.267,Bud Sharpe,- - -,490,1011808
1980,0.386,Buddy Bell,Rangers,534,1000799
1984,0.371,Buddy Bell,Rangers,630,1000799
1982,0.358,Buddy Bell,Rangers,614,1000799
1986,0.358,Buddy Bell,Reds,655,1000799
1981,0.352,Buddy Bell,Rangers,415,1000799
1987,0.352,Buddy Bell,Reds,597,1000799
1977,0.343,Buddy Bell,Indians,538,1000799
1979,0.341,Buddy Bell,Rangers,720,1000799
1983,0.330,Buddy Bell,Rangers,678,1000799
1978,0.326,Buddy Bell,Indians,606,1000799
1973,0.326,Buddy Bell,Indians,689,1000799
1975,0.323,Buddy Bell,Indians,619,1000799
1976,0.321,Buddy Bell,Indians,661,1000799
1972,0.304,Buddy Bell,Indians,505,1000799
1985,0.297,Buddy Bell,- - -,635,1000799
1942,0.340,Buddy Blair,Athletics,523,1001028
1946,0.359,Buddy Blattner,Giants,488,1001061
1936,0.349,Buddy Hassett,Dodgers,683,1005478
1937,0.332,Buddy Hassett,Dodgers,595,1005478
1942,0.327,Buddy Hassett,Yankees,581,1005478
1939,0.326,Buddy Hassett,Bees,638,1005478
1940,0.263,Buddy Hassett,Bees,485,1005478
1947,0.334,Buddy Kerr,Giants,596,1006870
1944,0.331,Buddy Kerr,Giants,598,1006870
1946,0.318,Buddy Kerr,Giants,571,1006870
1945,0.300,Buddy Kerr,Giants,605,1006870
1948,0.294,Buddy Kerr,Giants,555,1006870
1950,0.286,Buddy Kerr,Braves,571,1006870
1939,0.403,Buddy Lewis,Senators,629,1007578
1940,0.384,Buddy Lewis,Senators,679,1007578
1941,0.383,Buddy Lewis,Senators,653,1007578
1946,0.367,Buddy Lewis,Senators,656,1007578
1937,0.365,Buddy Lewis,Senators,733,1007578
1938,0.361,Buddy Lewis,Senators,724,1007578
1936,0.346,Buddy Lewis,Senators,657,1007578
1947,0.319,Buddy Lewis,Senators,568,1007578
1938,0.429,Buddy Myer,Senators,534,1009415
1935,0.421,Buddy Myer,Senators,720,1009415
1934,0.393,Buddy Myer,Senators,636,1009415
1937,0.377,Buddy Myer,Senators,519,1009415
1933,0.375,Buddy Myer,Senators,601,1009415
1928,0.362,Buddy Myer,Red Sox,619,1009415
1929,0.360,Buddy Myer,Senators,639,1009415
1932,0.358,Buddy Myer,Senators,661,1009415
1931,0.356,Buddy Myer,Senators,662,1009415
1926,0.355,Buddy Myer,Senators,499,1009415
1930,0.348,Buddy Myer,Senators,617,1009415
1927,0.346,Buddy Myer,- - -,601,1009415
1894,0.428,Bug Holliday,Reds,553,1005957
1889,0.402,Bug Holliday,Red Stockings,608,1005957
1891,0.401,Bug Holliday,Reds,482,1005957
1893,0.400,Bug Holliday,Reds,576,1005957
1892,0.382,Bug Holliday,Reds,660,1005957
1890,0.349,Bug Holliday,Reds,574,1005957
1977,0.342,Bump Wills,Rangers,617,1014049
1979,0.314,Bump Wills,Rangers,617,1014049
1978,0.313,Bump Wills,Rangers,619,1014049
1980,0.309,Bump Wills,Rangers,656,1014049
1981,0.282,Bump Wills,Rangers,454,1014049
1907,0.325,Bunk Congalton,- - -,558,1002499
1937,0.317,Burgess Whitehead,Giants,613,1013856
1936,0.314,Burgess Whitehead,Giants,685,1013856
1940,0.306,Burgess Whitehead,Giants,606,1013856
1913,0.381,Burt Shotton,Browns,655,1011933
1915,0.381,Burt Shotton,Browns,685,1011933
1912,0.367,Burt Shotton,Browns,681,1011933
1916,0.364,Burt Shotton,Browns,728,1011933
1918,0.334,Burt Shotton,Senators,576,1011933
1914,0.332,Burt Shotton,Browns,655,1011933
1911,0.304,Burt Shotton,Browns,630,1011933
1944,0.382,Buster Adams,Blue Jays,682,1000047
1945,0.376,Buster Adams,- - -,707,1000047
1884,0.380,Buster Hoover,- - -,333,1006006
1937,0.360,Buster Mills,Red Sox,566,1008953
1938,0.339,Buster Mills,Browns,520,1008953
2012,0.406,Buster Posey,Giants,610,9166
2014,0.371,Buster Posey,Giants,605,9166
2017,0.366,Buster Posey,Giants,568,9166
2015,0.363,Buster Posey,Giants,623,9166
2013,0.357,Buster Posey,Giants,595,9166
2016,0.341,Buster Posey,Giants,614,9166
1922,0.394,Butch Henline,Phillies,481,1005653
1979,0.344,Butch Hobson,Red Sox,570,1005872
1977,0.341,Butch Hobson,Red Sox,637,1005872
1978,0.323,Butch Hobson,Red Sox,574,1005872
1997,0.348,Butch Huskey,Mets,505,1006228
1944,0.356,Butch Nieman,Braves,517,1009588
1914,0.344,Butch Schmidt,Braves,614,1011577
1915,0.326,Butch Schmidt,Braves,524,1011577
1976,0.336,Butch Wynegar,Twins,622,1014308
1979,0.328,Butch Wynegar,Twins,595,1014308
1984,0.323,Butch Wynegar,Yankees,512,1014308
1977,0.322,Butch Wynegar,Twins,617,1014308
1980,0.308,Butch Wynegar,Twins,564,1014308
1978,0.286,Butch Wynegar,Twins,522,1014308
1881,0.337,Buttercup Dickerson,Ruby Legs,375,1003272
1879,0.326,Buttercup Dickerson,Reds,353,1003272
1883,0.269,Buttercup Dickerson,Alleghenys,372,1003272
1934,0.378,Buzz Boyle,Dodgers,529,1001285
1935,0.326,Buzz Boyle,Dodgers,522,1001285
2017,0.312,Byron Buxton,Twins,511,14161
2018,0.347,C.J. Cron,Rays,560,12546
1954,0.371,Cal Abrams,- - -,558,1000025
1953,0.366,Cal Abrams,Pirates,512,1000025
1884,0.334,Cal Broughton,Brewers,39,1001483
1871,0.440,Cal McVey,Red Stockings,154,1008696
1873,0.396,Cal McVey,Canaries,195,1008696
1875,0.391,Cal McVey,Red Stockings,390,1008696
1877,0.386,Cal McVey,White Stockings,274,1008696
1874,0.378,Cal McVey,Red Stockings,344,1008696
1876,0.351,Cal McVey,White Stockings,310,1008696
1878,0.330,Cal McVey,Reds,276,1008696
1872,0.324,Cal McVey,Red Stockings,238,1008696
1879,0.313,Cal McVey,Reds,362,1008696
1991,0.405,Cal Ripken,Orioles,717,1010978
1984,0.393,Cal Ripken,Orioles,716,1010978
1983,0.392,Cal Ripken,Orioles,726,1010978
1988,0.359,Cal Ripken,Orioles,689,1010978
1986,0.359,Cal Ripken,Orioles,707,1010978
1985,0.359,Cal Ripken,Orioles,718,1010978
1994,0.359,Cal Ripken,Orioles,484,1010978
1996,0.350,Cal Ripken,Orioles,707,1010978
1982,0.347,Cal Ripken,Orioles,655,1010978
1987,0.336,Cal Ripken,Orioles,717,1010978
1990,0.333,Cal Ripken,Orioles,695,1010978
1995,0.325,Cal Ripken,Orioles,613,1010978
1993,0.324,Cal Ripken,Orioles,718,1010978
1997,0.323,Cal Ripken,Orioles,686,1010978
1989,0.323,Cal Ripken,Orioles,712,1010978
1998,0.322,Cal Ripken,Orioles,659,1010978
1992,0.309,Cal Ripken,Orioles,715,1010978
2001,0.275,Cal Ripken,Orioles,516,1010978
2011,0.316,Cameron Maybin,Padres,568,5223
2015,0.307,Cameron Maybin,Braves,555,5223
2012,0.290,Cameron Maybin,Padres,561,5223
1873,0.259,Candy Cummings,Canaries,197,1002872
1872,0.224,Candy Cummings,Mutuals,254,1002872
1874,0.223,Candy Cummings,Whites,231,1002872
1895,0.366,Candy LaChance,Grooms,576,1007233
1899,0.360,Candy LaChance,Orioles,508,1007233
1897,0.359,Candy LaChance,Bridegrooms,548,1007233
1901,0.325,Candy LaChance,Blues,564,1007233
1902,0.316,Candy LaChance,Americans,575,1007233
1898,0.313,Candy LaChance,Bridegrooms,576,1007233
1903,0.302,Candy LaChance,Americans,579,1007233
1904,0.265,Candy LaChance,Americans,626,1007233
1992,0.368,Candy Maldonado,Blue Jays,560,1008015
1990,0.344,Candy Maldonado,Indians,651,1008015
1988,0.311,Candy Maldonado,Giants,552,1008015
1883,0.336,Candy Nelson,Metropolitans,448,1009498
1884,0.333,Candy Nelson,Metropolitans,515,1009498
1873,0.324,Candy Nelson,Mutuals,169,1009498
1885,0.323,Candy Nelson,Metropolitans,484,1009498
1886,0.297,Candy Nelson,Metropolitans,479,1009498
1872,0.274,Candy Nelson,- - -,98,1009498
1874,0.265,Candy Nelson,Mutuals,306,1009498
1875,0.214,Candy Nelson,Mutuals,285,1009498
1872,0.451,Cap Anson,Athletics,233,1000272
1886,0.451,Cap Anson,White Stockings,559,1000272
1881,0.436,Cap Anson,White Stockings,369,1000272
1887,0.430,Cap Anson,White Stockings,533,1000272
1890,0.420,Cap Anson,Colts,623,1000272
1888,0.417,Cap Anson,White Stockings,563,1000272
1889,0.410,Cap Anson,White Stockings,609,1000272
1884,0.409,Cap Anson,White Stockings,504,1000272
1882,0.403,Cap Anson,White Stockings,368,1000272
1873,0.400,Cap Anson,Athletics,259,1000272
1895,0.398,Cap Anson,Colts,545,1000272
1893,0.397,Cap Anson,Colts,467,1000272
1896,0.392,Cap Anson,Colts,459,1000272
1876,0.383,Cap Anson,White Stockings,321,1000272
1891,0.382,Cap Anson,Colts,616,1000272
1885,0.376,Cap Anson,White Stockings,498,1000272
1897,0.363,Cap Anson,Colts,497,1000272
1878,0.362,Cap Anson,White Stockings,274,1000272
1877,0.359,Cap Anson,White Stockings,264,1000272
1880,0.355,Cap Anson,White Stockings,370,1000272
1871,0.350,Cap Anson,Forest Citys,122,1000272
1892,0.348,Cap Anson,Colts,630,1000272
1883,0.340,Cap Anson,White Stockings,431,1000272
1874,0.340,Cap Anson,Athletics,263,1000272
1875,0.331,Cap Anson,Athletics,330,1000272
1945,0.366,Carden Gillenwater,Braves,600,1004709
2010,0.369,Carl Crawford,Rays,663,1201
2009,0.358,Carl Crawford,Rays,672,1201
2007,0.355,Carl Crawford,Devil Rays,627,1201
2006,0.355,Carl Crawford,Devil Rays,653,1201
2005,0.343,Carl Crawford,Devil Rays,687,1201
2004,0.335,Carl Crawford,Devil Rays,672,1201
2011,0.302,Carl Crawford,Red Sox,539,1201
2003,0.293,Carl Crawford,Devil Rays,661,1201
1999,0.411,Carl Everett,Astros,535,1249
2000,0.402,Carl Everett,Red Sox,561,1249
2003,0.374,Carl Everett,- - -,602,1249
1998,0.365,Carl Everett,Astros,519,1249
2005,0.321,Carl Everett,White Sox,547,1249
1953,0.430,Carl Furillo,Dodgers,518,1004409
1949,0.400,Carl Furillo,Dodgers,596,1004409
1955,0.392,Carl Furillo,Dodgers,578,1004409
1950,0.369,Carl Furillo,Dodgers,669,1004409
1954,0.365,Carl Furillo,Dodgers,607,1004409
1956,0.358,Carl Furillo,Dodgers,587,1004409
1951,0.355,Carl Furillo,Dodgers,724,1004409
1928,0.328,Carl Lind,Indians,713,1007615
1930,0.422,Carl Reynolds,White Sox,602,1010864
1933,0.371,Carl Reynolds,Browns,538,1010864
1929,0.368,Carl Reynolds,White Sox,559,1010864
1931,0.352,Carl Reynolds,White Sox,495,1010864
1938,0.344,Carl Reynolds,Cubs,530,1010864
1962,0.320,Carl Warwick,- - -,551,1013646
1963,0.300,Carl Warwick,Colt .45's,583,1013646
1970,0.455,Carl Yastrzemski,Red Sox,697,1014326
1967,0.454,Carl Yastrzemski,Red Sox,680,1014326
1968,0.414,Carl Yastrzemski,Red Sox,664,1014326
1965,0.406,Carl Yastrzemski,Red Sox,571,1014326
1963,0.397,Carl Yastrzemski,Red Sox,668,1014326
1973,0.389,Carl Yastrzemski,Red Sox,652,1014326
1969,0.387,Carl Yastrzemski,Red Sox,707,1014326
1974,0.387,Carl Yastrzemski,Red Sox,633,1014326
1977,0.381,Carl Yastrzemski,Red Sox,643,1014326
1962,0.367,Carl Yastrzemski,Red Sox,719,1014326
1964,0.365,Carl Yastrzemski,Red Sox,646,1014326
1976,0.362,Carl Yastrzemski,Red Sox,636,1014326
1978,0.355,Carl Yastrzemski,Red Sox,611,1014326
1982,0.355,Carl Yastrzemski,Red Sox,523,1014326
1975,0.354,Carl Yastrzemski,Red Sox,634,1014326
1971,0.352,Carl Yastrzemski,Red Sox,620,1014326
1966,0.352,Carl Yastrzemski,Red Sox,680,1014326
1979,0.349,Carl Yastrzemski,Red Sox,590,1014326
1972,0.343,Carl Yastrzemski,Red Sox,535,1014326
1961,0.320,Carl Yastrzemski,Red Sox,643,1014326
1981,0.320,Carl Yastrzemski,Red Sox,390,1014326
1994,0.364,Carlos Baerga,Indians,469,175
1993,0.364,Carlos Baerga,Indians,680,175
1992,0.359,Carlos Baerga,Indians,716,175
1995,0.352,Carlos Baerga,Indians,600,175
1991,0.335,Carlos Baerga,Indians,654,175
1996,0.297,Carlos Baerga,- - -,544,175
1998,0.291,Carlos Baerga,Mets,551,175
2006,0.408,Carlos Beltran,Mets,617,589
2011,0.391,Carlos Beltran,- - -,598,589
2003,0.389,Carlos Beltran,Royals,602,589
2004,0.383,Carlos Beltran,- - -,708,589
2008,0.375,Carlos Beltran,Mets,706,589
2001,0.373,Carlos Beltran,Royals,680,589
2007,0.369,Carlos Beltran,Mets,636,589
2002,0.364,Carlos Beltran,Royals,722,589
2013,0.359,Carlos Beltran,Cardinals,600,589
2016,0.358,Carlos Beltran,- - -,593,589
2012,0.355,Carlos Beltran,Cardinals,619,589
2015,0.346,Carlos Beltran,Yankees,531,589
1999,0.343,Carlos Beltran,Royals,723,589
2005,0.323,Carlos Beltran,Mets,650,589
2017,0.283,Carlos Beltran,Astros,509,589
2016,0.349,Carlos Correa,Astros,660,14162
2000,0.471,Carlos Delgado,Blue Jays,711,1297
2003,0.423,Carlos Delgado,Blue Jays,705,1297
1998,0.409,Carlos Delgado,Blue Jays,620,1297
2005,0.407,Carlos Delgado,Marlins,616,1297
2002,0.401,Carlos Delgado,Blue Jays,628,1297
1999,0.399,Carlos Delgado,Blue Jays,681,1297
2001,0.397,Carlos Delgado,Blue Jays,704,1297
2004,0.378,Carlos Delgado,Blue Jays,551,1297
2006,0.377,Carlos Delgado,Mets,618,1297
1997,0.372,Carlos Delgado,Blue Jays,595,1297
2008,0.366,Carlos Delgado,Mets,686,1297
1996,0.363,Carlos Delgado,Blue Jays,563,1297
2007,0.336,Carlos Delgado,Mets,607,1297
1999,0.331,Carlos Febles,Royals,524,598
1993,0.318,Carlos Garcia,Pirates,597,1004496
1994,0.299,Carlos Garcia,Pirates,434,1004496
2014,0.368,Carlos Gomez,Brewers,644,4881
2013,0.363,Carlos Gomez,Brewers,590,4881
2008,0.291,Carlos Gomez,Twins,614,4881
2010,0.413,Carlos Gonzalez,Rockies,636,7287
2011,0.380,Carlos Gonzalez,Rockies,542,7287
2012,0.374,Carlos Gonzalez,Rockies,579,7287
2015,0.364,Carlos Gonzalez,Rockies,608,7287
2016,0.361,Carlos Gonzalez,Rockies,632,7287
2017,0.327,Carlos Gonzalez,Rockies,534,7287
2004,0.391,Carlos Guillen,Tigers,583,1079
2006,0.391,Carlos Guillen,Tigers,622,1079
2007,0.364,Carlos Guillen,Tigers,630,1079
2002,0.315,Carlos Guillen,Mariners,528,1079
2001,0.307,Carlos Guillen,Mariners,523,1079
2004,0.379,Carlos Lee,White Sox,658,243
2006,0.375,Carlos Lee,- - -,695,243
2007,0.371,Carlos Lee,Astros,697,243
2002,0.363,Carlos Lee,White Sox,576,243
2000,0.357,Carlos Lee,White Sox,619,243
